,Country,Sub-national region,latitude,longitude,ISO country code,World region,MPI_Country,MPI_Region,PercPoverty,DepvrIntensity,location_type,latlngImputed,useforspatial,popDensity,precipitation,TimeToCity,AvgNightLight,LandClassification,Elevation,Temperature,Evaporation,Modis_LAI,Modis_EVI,soil_orgc,soil_phaq,soil_clay,soil_silt,soil_sand,Conflicts_total,Conflicts_totalDeaths,Conflicts_totalDeathsCivilians,Country Code,Region,IncomeGroup,SpecialNotes,TableName
0,Afghanistan,Badakhshan,36.7347725,70.8119953,AF,South Asia,-0.295,0.387,67.5,57.3,APPROXIMATE,0,1,24.83333397,446.5,182,0,140,2391,18,3532,2,732,,,,,,21,160,3,AFG,South Asia,Low income,"Fiscal year end: March 20; reporting period for national accounts data is calendar year, estimated to insure consistency between national accounts and fiscal data. National accounts data are sourced from the IMF and differ from the Central Statistics Organization numbers due to exclusion of the opium economy.",Afghanistan
1,Afghanistan,Badghis,35.1671339,63.7695384,AFG,South Asia,0.295,0.466,79.3,58.8,APPROXIMATE,0,1,7.671666622,302.5,237,0,30,1378,29,1615,2,1340,,,,,,0,0,0,AFG,South Asia,Low income,"Fiscal year end: March 20; reporting period for national accounts data is calendar year, estimated to insure consistency between national accounts and fiscal data. National accounts data are sourced from the IMF and differ from the Central Statistics Organization numbers due to exclusion of the opium economy.",Afghanistan
2,Afghanistan,Baghlan,35.8042947,69.2877535,AFG,South Asia,0.295,0.3,59.7,50.3,APPROXIMATE,0,1,35.92666626,533,308,0,140,2336,23,2158,1,884,,,,,,2,2,0,AFG,South Asia,Low income,"Fiscal year end: March 20; reporting period for national accounts data is calendar year, estimated to insure consistency between national accounts and fiscal data. National accounts data are sourced from the IMF and differ from the Central Statistics Organization numbers due to exclusion of the opium economy.",Afghanistan
3,Afghanistan,Balkh,36.7550603,66.8975372,AFG,South Asia,0.295,0.301,55.7,54.1,APPROXIMATE,0,1,251.6666718,201,0,10,11,346,26,1482,4,2028,,,,,,1,4,0,AFG,South Asia,Low income,"Fiscal year end: March 20; reporting period for national accounts data is calendar year, estimated to insure consistency between national accounts and fiscal data. National accounts data are sourced from the IMF and differ from the Central Statistics Organization numbers due to exclusion of the opium economy.",Afghanistan
4,Afghanistan,Bamyan,34.8100067,67.8212104,AFG,South Asia,0.295,0.325,61,53.3,APPROXIMATE,0,1,41.5,145.5,250,3,20,2562,22,2744,4,1261,,,,,,1,1,0,AFG,South Asia,Low income,"Fiscal year end: March 20; reporting period for national accounts data is calendar year, estimated to insure consistency between national accounts and fiscal data. National accounts data are sourced from the IMF and differ from the Central Statistics Organization numbers due to exclusion of the opium economy.",Afghanistan
5,Afghanistan,Daykundi,33.669495,66.0463534,AFG,South Asia,0.295,0.313,65.1,48.1,APPROXIMATE,0,1,17,202.5,672,0,20,2214,23,1767,3,1295,,,,,,1,1,0,AFG,South Asia,Low income,"Fiscal year end: March 20; reporting period for national accounts data is calendar year, estimated to insure consistency between national accounts and fiscal data. National accounts data are sourced from the IMF and differ from the Central Statistics Organization numbers due to exclusion of the opium economy.",Afghanistan
6,Afghanistan,Farah,32.4464635,62.1454133,AFG,South Asia,0.295,0.319,61.4,52,APPROXIMATE,0,1,39.54999924,70.5,313,0,200,670,33,527,2,1279,,8.366666667,18.31666667,41.95,39.73333333,78,367,48,AFG,South Asia,Low income,"Fiscal year end: March 20; reporting period for national accounts data is calendar year, estimated to insure consistency between national accounts and fiscal data. National accounts data are sourced from the IMF and differ from the Central Statistics Organization numbers due to exclusion of the opium economy.",Afghanistan
7,Afghanistan,Faryab,36.0795613,64.905955,AFG,South Asia,0.295,0.25,49.4,50.6,APPROXIMATE,0,1,100.8099976,317.5,169,0,140,711,35,1202,2,976,,,,,,26,137,21,AFG,South Asia,Low income,"Fiscal year end: March 20; reporting period for national accounts data is calendar year, estimated to insure consistency between national accounts and fiscal data. National accounts data are sourced from the IMF and differ from the Central Statistics Organization numbers due to exclusion of the opium economy.",Afghanistan
8,Afghanistan,Ghazni,33.5450587,68.4173972,AFG,South Asia,0.295,0.245,47.4,51.6,APPROXIMATE,0,1,4049.833252,189.5,126,6,200,2176,25,1552,2,1092,,,,,,122,521,68,AFG,South Asia,Low income,"Fiscal year end: March 20; reporting period for national accounts data is calendar year, estimated to insure consistency between national accounts and fiscal data. National accounts data are sourced from the IMF and differ from the Central Statistics Organization numbers due to exclusion of the opium economy.",Afghanistan
9,Afghanistan,Ghor,34.0995776,64.905955,AFG,South Asia,0.295,0.384,74.6,51.5,APPROXIMATE,0,1,7.666666508,198.5,528,0,11,2908,20,1731,2,837,,,,,,6,20,0,AFG,South Asia,Low income,"Fiscal year end: March 20; reporting period for national accounts data is calendar year, estimated to insure consistency between national accounts and fiscal data. National accounts data are sourced from the IMF and differ from the Central Statistics Organization numbers due to exclusion of the opium economy.",Afghanistan
10,Afghanistan,Ghor,34.0995776,64.905955,AFG,South Asia,0.295,0.384,74.6,51.5,APPROXIMATE,0,1,7.666666508,198.5,528,0,11,2908,20,1731,2,837,,,,,,6,20,0,AFG,South Asia,Low income,"Fiscal year end: March 20; reporting period for national accounts data is calendar year, estimated to insure consistency between national accounts and fiscal data. National accounts data are sourced from the IMF and differ from the Central Statistics Organization numbers due to exclusion of the opium economy.",Afghanistan
10,Afghanistan,Helmand,31.3636474,63.9586111,AFG,South Asia,0.295,0.261,61.8,42.2,APPROXIMATE,0,1,21.16666603,72.5,374,0,30,762,37,,,829,,,,,,0,0,0,AFG,South Asia,Low income,"Fiscal year end: March 20; reporting period for national accounts data is calendar year, estimated to insure consistency between national accounts and fiscal data. National accounts data are sourced from the IMF and differ from the Central Statistics Organization numbers due to exclusion of the opium economy.",Afghanistan
11,Afghanistan,Herat,34.352865,62.2040287,AFG,South Asia,0.295,0.353,63.3,55.8,APPROXIMATE,0,1,942.7166748,211,4,36,140,928,27,1073,2,1172,,,,,,67,132,35,AFG,South Asia,Low income,"Fiscal year end: March 20; reporting period for national accounts data is calendar year, estimated to insure consistency between national accounts and fiscal data. National accounts data are sourced from the IMF and differ from the Central Statistics Organization numbers due to exclusion of the opium economy.",Afghanistan
12,Afghanistan,Jawzjan,36.8969692,65.6658568,AFG,South Asia,0.295,0.293,60.9,48.1,APPROXIMATE,0,1,15.5,242.5,324,0,30,293,32,999,1,906,,,,,,0,0,0,AFG,South Asia,Low income,"Fiscal year end: March 20; reporting period for national accounts data is calendar year, estimated to insure consistency between national accounts and fiscal data. National accounts data are sourced from the IMF and differ from the Central Statistics Organization numbers due to exclusion of the opium economy.",Afghanistan
13,Afghanistan,Kabul,34.5553494,69.207486,AFG,South Asia,0.295,0.117,25.3,46.1,APPROXIMATE,0,1,399.1783447,238.5,6,32,200,1791,24,1396,2,1102,,,,,,37,112,31,AFG,South Asia,Low income,"Fiscal year end: March 20; reporting period for national accounts data is calendar year, estimated to insure consistency between national accounts and fiscal data. National accounts data are sourced from the IMF and differ from the Central Statistics Organization numbers due to exclusion of the opium economy.",Afghanistan
14,Afghanistan,Kandahar,31.628871,65.7371749,AFG,South Asia,0.295,0.437,72.1,60.7,APPROXIMATE,0,1,811.1583252,120.5,3,26,200,1014,32,566,2,1143,,,,,,337,1080,277,AFG,South Asia,Low income,"Fiscal year end: March 20; reporting period for national accounts data is calendar year, estimated to insure consistency between national accounts and fiscal data. National accounts data are sourced from the IMF and differ from the Central Statistics Organization numbers due to exclusion of the opium economy.",Afghanistan
15,Afghanistan,Kapisa,34.9810572,69.6214562,AFG,South Asia,0.295,0.28,53.6,52.3,APPROXIMATE,0,1,191.8000031,405.5,184,0,200,1891,25,2086,2,993,,,,,,71,261,55,AFG,South Asia,Low income,"Fiscal year end: March 20; reporting period for national accounts data is calendar year, estimated to insure consistency between national accounts and fiscal data. National accounts data are sourced from the IMF and differ from the Central Statistics Organization numbers due to exclusion of the opium economy.",Afghanistan
16,Afghanistan,Khost,33.3338472,69.9371673,AFG,South Asia,0.295,0.296,57.8,51.1,APPROXIMATE,0,1,181.1699982,396,128,2,20,1164,27,2036,6,2264,,,,,,265,903,198,AFG,South Asia,Low income,"Fiscal year end: March 20; reporting period for national accounts data is calendar year, estimated to insure consistency between national accounts and fiscal data. National accounts data are sourced from the IMF and differ from the Central Statistics Organization numbers due to exclusion of the opium economy.",Afghanistan
17,Afghanistan,Kunarha,34.8465893,71.097317,AFG,South Asia,0.295,0.269,58.3,46.2,APPROXIMATE,0,1,121.6083298,637.5,48,0,14,1597,27,1849,3,1302,,7.93375,16.76083333,43.125,40.11416667,272,1084,59,AFG,South Asia,Low income,"Fiscal year end: March 20; reporting period for national accounts data is calendar year, estimated to insure consistency between national accounts and fiscal data. National accounts data are sourced from the IMF and differ from the Central Statistics Organization numbers due to exclusion of the opium economy.",Afghanistan
18,Afghanistan,Kunduz,36.7285907,68.8680663,AFG,South Asia,0.295,0.294,60.5,48.5,APPROXIMATE,0,1,431.9500122,318.5,3,20,140,403,29,1103,2,1189,,,,,,180,1601,221,AFG,South Asia,Low income,"Fiscal year end: March 20; reporting period for national accounts data is calendar year, estimated to insure consistency between national accounts and fiscal data. National accounts data are sourced from the IMF and differ from the Central Statistics Organization numbers due to exclusion of the opium economy.",Afghanistan
19,Afghanistan,Laghman,34.6897687,70.1455805,AFG,South Asia,0.295,0.369,70.4,52.4,APPROXIMATE,0,1,221.1666718,310,32,0,200,879,32,1093,2,1032,,,,,,129,441,8,AFG,South Asia,Low income,"Fiscal year end: March 20; reporting period for national accounts data is calendar year, estimated to insure consistency between national accounts and fiscal data. National accounts data are sourced from the IMF and differ from the Central Statistics Organization numbers due to exclusion of the opium economy.",Afghanistan
20,Afghanistan,Logar,34.0145518,69.1923916,AFG,South Asia,0.295,0.187,41.4,45.2,APPROXIMATE,0,1,65.74832916,273.5,115,0,200,2198,28,,,608,,,,,,76,189,12,AFG,South Asia,Low income,"Fiscal year end: March 20; reporting period for national accounts data is calendar year, estimated to insure consistency between national accounts and fiscal data. National accounts data are sourced from the IMF and differ from the Central Statistics Organization numbers due to exclusion of the opium economy.",Afghanistan
21,Afghanistan,Nangarhar,34.1718313,70.6216794,AFG,South Asia,0.295,0.287,54.9,52.4,APPROXIMATE,0,1,140.0249939,379,73,0,30,828,31,1126,2,1313,,,,,,188,1745,42,AFG,South Asia,Low income,"Fiscal year end: March 20; reporting period for national accounts data is calendar year, estimated to insure consistency between national accounts and fiscal data. National accounts data are sourced from the IMF and differ from the Central Statistics Organization numbers due to exclusion of the opium economy.",Afghanistan
22,Afghanistan,Nimroz,31.0261488,62.4504154,AFG,South Asia,0.295,0.231,45.4,50.9,APPROXIMATE,0,1,2.833333254,51.5,631,0,200,546,36,,,504,,,,,,0,0,0,AFG,South Asia,Low income,"Fiscal year end: March 20; reporting period for national accounts data is calendar year, estimated to insure consistency between national accounts and fiscal data. National accounts data are sourced from the IMF and differ from the Central Statistics Organization numbers due to exclusion of the opium economy.",Afghanistan
23,Afghanistan,Nooristan,35.3250223,70.9071236,AFG,South Asia,0.295,0.611,93.7,65.2,APPROXIMATE,0,1,4.58166647,723.5,893,0,220,2686,14,4755,8,1976,,,,,,30,96,3,AFG,South Asia,Low income,"Fiscal year end: March 20; reporting period for national accounts data is calendar year, estimated to insure consistency between national accounts and fiscal data. National accounts data are sourced from the IMF and differ from the Central Statistics Organization numbers due to exclusion of the opium economy.",Afghanistan
24,Afghanistan,Paktika,32.2645386,68.5247149,AFG,South Asia,0.295,0.137,28.1,48.6,APPROXIMATE,0,1,6.523333549,232.5,542,0,200,2493,26,1213,2,744,,,,,,0,0,0,AFG,South Asia,Low income,"Fiscal year end: March 20; reporting period for national accounts data is calendar year, estimated to insure consistency between national accounts and fiscal data. National accounts data are sourced from the IMF and differ from the Central Statistics Organization numbers due to exclusion of the opium economy.",Afghanistan
25,Afghanistan,Paktya,33.706199,69.3831079,AFG,South Asia,0.295,0.218,45.2,48.3,APPROXIMATE,0,1,100.6666641,352.5,27,0,20,2474,21,1743,2,1107,,,,,,187,685,13,AFG,South Asia,Low income,"Fiscal year end: March 20; reporting period for national accounts data is calendar year, estimated to insure consistency between national accounts and fiscal data. National accounts data are sourced from the IMF and differ from the Central Statistics Organization numbers due to exclusion of the opium economy.",Afghanistan
26,Afghanistan,Panjsher,35.5025772,69.9550338,AFG,South Asia,0.295,0.12,25.8,46.6,APPROXIMATE,0,1,24.83333397,756.5,711,0,140,3166,12,3737,2,896,,,,,,0,0,0,AFG,South Asia,Low income,"Fiscal year end: March 20; reporting period for national accounts data is calendar year, estimated to insure consistency between national accounts and fiscal data. National accounts data are sourced from the IMF and differ from the Central Statistics Organization numbers due to exclusion of the opium economy.",Afghanistan
27,Afghanistan,Parwan,34.9630977,68.8108849,AFG,South Asia,0.295,0.294,58.6,50.1,APPROXIMATE,0,1,74.33333588,333,274,0,200,2215,29,,,618,,,,,,35,103,11,AFG,South Asia,Low income,"Fiscal year end: March 20; reporting period for national accounts data is calendar year, estimated to insure consistency between national accounts and fiscal data. National accounts data are sourced from the IMF and differ from the Central Statistics Organization numbers due to exclusion of the opium economy.",Afghanistan
28,Afghanistan,Samangan,35.9807296,67.5708536,AFG,South Asia,0.295,0.35,64.3,54.4,APPROXIMATE,0,1,33.66666794,307.5,250,0,11,2172,23,1710,2,1189,,,,,,2,7,0,AFG,South Asia,Low income,"Fiscal year end: March 20; reporting period for national accounts data is calendar year, estimated to insure consistency between national accounts and fiscal data. National accounts data are sourced from the IMF and differ from the Central Statistics Organization numbers due to exclusion of the opium economy.",Afghanistan
29,Afghanistan,Sar-E-Pul,35.6707473,66.0463534,AFG,South Asia,0.295,0.341,67.8,50.3,APPROXIMATE,0,1,10.5,253,273,0,30,2114,21,2167,1,857,,,,,,0,0,0,AFG,South Asia,Low income,"Fiscal year end: March 20; reporting period for national accounts data is calendar year, estimated to insure consistency between national accounts and fiscal data. National accounts data are sourced from the IMF and differ from the Central Statistics Organization numbers due to exclusion of the opium economy.",Afghanistan
30,Afghanistan,Takhar,36.6698013,69.4784541,AFG,South Asia,0.295,0.361,65.1,55.4,APPROXIMATE,0,1,210.1600037,403,345,0,140,991,30,1451,2,948,,,,,,8,52,0,AFG,South Asia,Low income,"Fiscal year end: March 20; reporting period for national accounts data is calendar year, estimated to insure consistency between national accounts and fiscal data. National accounts data are sourced from the IMF and differ from the Central Statistics Organization numbers due to exclusion of the opium economy.",Afghanistan
31,Afghanistan,Urozgan,32.9271287,66.1415263,AFG,South Asia,0.295,0.624,94.5,66,APPROXIMATE,0,1,11.66666698,176.5,310,0,200,2032,27,1187,2,866,,,,,,225,893,39,AFG,South Asia,Low income,"Fiscal year end: March 20; reporting period for national accounts data is calendar year, estimated to insure consistency between national accounts and fiscal data. National accounts data are sourced from the IMF and differ from the Central Statistics Organization numbers due to exclusion of the opium economy.",Afghanistan
32,Afghanistan,Wardak,34.3513494,68.2385339,AFG,South Asia,0.295,0.34,67.9,50.1,APPROXIMATE,0,1,34.82500076,301,451,0,220,3066,20,1960,2,904,,,,,,12,43,5,AFG,South Asia,Low income,"Fiscal year end: March 20; reporting period for national accounts data is calendar year, estimated to insure consistency between national accounts and fiscal data. National accounts data are sourced from the IMF and differ from the Central Statistics Organization numbers due to exclusion of the opium economy.",Afghanistan
33,Afghanistan,Zabul,32.1918782,67.1894488,AFG,South Asia,0.295,0.175,34.6,50.4,APPROXIMATE,0,1,17.66666603,176.5,513,0,30,1888,30,,,924,,,,,,7,18,0,AFG,South Asia,Low income,"Fiscal year end: March 20; reporting period for national accounts data is calendar year, estimated to insure consistency between national accounts and fiscal data. National accounts data are sourced from the IMF and differ from the Central Statistics Organization numbers due to exclusion of the opium economy.",Afghanistan
34,Angola,Bengo,-9.1076245,13.6873112,AGO,Sub-Saharan Africa,0.259,0.269,54.4,49.4,APPROXIMATE,0,1,6.5,606.5,50,4,140,47,28,7910,11,2856,,,,,,0,0,0,AGO,Sub-Saharan Africa,Lower middle income,,Angola
35,Angola,Benguela,-12.5905158,13.416501,AGO,Sub-Saharan Africa,0.259,0.31,56.5,54.8,APPROXIMATE,0,1,23,297.5,2,37,190,15,33,,,1271,7.25,8.403333333,26.86666667,25.96666667,46.75666667,0,0,0,AGO,Sub-Saharan Africa,Lower middle income,,Angola
36,Angola,Bié,-12.4012884,16.9329375,AGO,Sub-Saharan Africa,0.259,0.423,75.5,56,APPROXIMATE,0,1,21.66666603,1304,172,7,140,1720,30,,,2477,,,,,,0,0,0,AGO,Sub-Saharan Africa,Lower middle income,,Angola
37,Angola,Cabinda,-5.5775197,12.1927103,AGO,Sub-Saharan Africa,0.259,0.127,26.6,47.8,APPROXIMATE,0,1,31.33333397,822,51,30,40,58,26,10325,2,1916,,,,,,0,0,0,AGO,Sub-Saharan Africa,Lower middle income,,Angola
38,Angola,Cuando Cubango,-14.6595673,17.6984751,AGO,Sub-Saharan Africa,0.259,0.38,70.4,54,APPROXIMATE,0,1,0.333333343,1056.5,401,12,140,1365,31,,,2116,,,,,,0,0,0,AGO,Sub-Saharan Africa,Lower middle income,,Angola
39,Angola,Cuanza Norte,-9.3005898,14.9134098,AGO,Sub-Saharan Africa,0.259,0.311,61,51,APPROXIMATE,0,1,22.16666603,1110.5,240,12,110,781,28,8279,6,1990,,,,,,0,0,0,AGO,Sub-Saharan Africa,Lower middle income,,Angola
